MNO,RFNSA ID,Latitude,Longitude,New in 2023,3G,4G,5G,Co_funded,ABS_REMOTENESS
Optus,2000372,-33.86473,151.202339,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000372,-33.865405,151.202204,N,Y,Y,N,N,Major Cities of Australia
Optus,2000372,-33.86481,151.202204,N,Y,Y,N,N,Major Cities of Australia
Optus,2000376,-33.867989,151.208807,N,N,Y,N,N,Major Cities of Australia
Optus,2000381,-33.869244,151.211112,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000387,-33.862494,151.207881,N,Y,Y,N,N,Major Cities of Australia
Optus,2000388,-33.87358,151.20358,N,Y,Y,N,N,Major Cities of Australia
Optus,2000391,-33.87055,151.203224,N,Y,Y,N,N,Major Cities of Australia
Optus,2000393,-33.87685,151.20081,N,Y,Y,N,N,Major Cities of Australia
Optus,2000396,-33.862288,151.212724,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000414,-33.867936,151.214049,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.868259,151.216465,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.863094,151.217547,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.863924,151.22099,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.8627,151.222243,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.859886,151.222053,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.861354,151.221707,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.862482,151.220272,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.859047,151.21374,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.86063,151.213404,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.858686,151.214147,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.864664,151.215208,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.867115,151.215335,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.861303,151.221348,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.86035,151.22126,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.861126,151.213852,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.86071,151.217146,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.85856,151.215609,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.858376,151.214967,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.869811,151.214021,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.869293,151.216067,N,N,Y,N,N,Major Cities of Australia
Optus,2000414,-33.866191,151.218495,N,N,Y,N,N,Major Cities of Australia
